acc_id,frequency,recency,T,monetary_value,p_alive,predicted_clv_6m,r_score,f_score,m_score,rfm_total,rfm_segment
35,2.0,8.0,273.0,7500.0,0.027975935583122256,378.8290261549271,3,4,4,11.0,Loyal
36,3.0,420.0,443.0,90000.0,0.8896741311964109,122247.34899465532,3,5,5,13.0,Champions
205,0.0,0.0,177.0,0.0,1.0,2.2969686438036194,3,1,1,5.0,Need Attention
3004,5.0,505.0,539.0,10248.0,0.9221112399791103,17614.02685406392,3,5,4,12.0,Loyal
3073,0.0,0.0,315.0,0.0,1.0,1.4776934322582174,3,1,1,5.0,Need Attention
3222,0.0,0.0,489.0,0.0,1.0,1.0226155013111755,3,1,1,5.0,Need Attention
3789,4.0,469.0,500.0,11812.5,0.9089539932994009,18040.239921249053,3,5,5,13.0,Champions
7217,0.0,0.0,467.0,0.0,1.0,1.0639344039316976,3,1,1,5.0,Need Attention
7370,10.0,471.0,472.0,75600.0,0.9714354643113123,276522.3822798609,3,5,5,13.0,Champions
8352,0.0,0.0,309.0,0.0,1.0,1.50082155806206,3,1,1,5.0,Need Attention
8960,2.0,147.0,294.0,30000.0,0.5396736933525518,27511.789802900512,3,4,5,12.0,Loyal
9064,0.0,0.0,350.0,0.0,1.0,1.3559534760832095,3,1,1,5.0,Need Attention
9082,2.0,294.0,407.0,29700.0,0.7280861154748071,27942.971468243344,3,4,5,12.0,Loyal
9276,1.0,194.0,385.0,90000.0,0.46055052534695506,45016.34656318194,3,3,5,11.0,Loyal
9477,0.0,0.0,190.0,0.0,1.0,2.182063631596237,3,1,1,5.0,Need Attention
9623,1.0,378.0,534.0,4500.0,0.5895967089412897,2170.2615173795116,3,3,3,9.0,Need Attention
10420,0.0,0.0,324.0,0.0,1.0,1.4443232819653682,3,1,1,5.0,Need Attention
12377,2.0,418.0,476.0,47250.0,0.8142057808020751,43382.27452933583,3,4,5,12.0,Loyal
12720,0.0,0.0,477.0,0.0,1.0,1.0447437617787771,3,1,1,5.0,Need Attention
13640,1.0,372.0,511.0,4500.0,0.6014457614252529,2301.604522139878,3,3,3,9.0,Need Attention
16343,1.0,85.0,128.0,9900.0,0.5992034409963267,15064.193572847977,3,3,4,10.0,Loyal
20586,1.0,175.0,462.0,29250.0,0.34850851992117626,9464.164094866654,3,3,5,11.0,Loyal
21274,1.0,367.0,514.0,4500.0,0.5935512614133314,2259.712476633135,3,3,3,9.0,Need Attention
21417,1.0,32.0,313.0,120000.0,0.11848558212871683,18365.632592297232,3,3,5,11.0,Loyal
22703,0.0,0.0,301.0,0.0,1.0,1.5328247110882025,3,1,1,5.0,Need Attention
24360,5.0,495.0,504.0,9300.0,0.9386765798926185,17274.615250968167,3,5,4,12.0,Loyal
25259,0.0,0.0,231.0,0.0,1.0,1.8858375230135342,3,1,1,5.0,Need Attention
25389,0.0,0.0,317.0,0.0,1.0,1.4701436101189798,3,1,1,5.0,Need Attention
25908,0.0,0.0,496.0,0.0,1.0,1.0101377815304067,3,1,1,5.0,Need Attention
26269,1.0,364.0,422.0,10500.0,0.6688167410191153,7052.584798375217,3,3,4,10.0,Loyal
26599,0.0,0.0,483.0,0.0,1.0,1.0335603864185976,3,1,1,5.0,Need Attention
27406,2.0,321.0,345.0,78600.0,0.8367930926667142,97836.81605921028,3,4,5,12.0,Loyal
27430,1.0,367.0,443.0,10500.0,0.6533698274949732,6606.818918587608,3,3,4,10.0,Loyal
27632,0.0,0.0,533.0,0.0,1.0,0.948964053242109,3,1,1,5.0,Need Attention
27868,0.0,0.0,259.0,0.0,1.0,1.7264778240236225,3,1,1,5.0,Need Attention
28795,5.0,450.0,477.0,31560.0,0.9249580769383766,60647.525660921565,3,5,5,13.0,Champions
28799,0.0,0.0,336.0,0.0,1.0,1.4021316865892095,3,1,1,5.0,Need Attention
28962,0.0,0.0,329.0,0.0,1.0,1.4264350715871765,3,1,1,5.0,Need Attention
29063,1.0,54.0,377.0,90000.0,0.1393792641670456,13868.61546498723,3,3,5,11.0,Loyal
53590,0.0,0.0,205.0,0.0,1.0,2.0632627852032117,3,1,1,5.0,Need Attention
61404,3.0,343.0,504.0,295000.0,0.7152168514843051,287584.04960208177,3,5,5,13.0,Champions
61936,0.0,0.0,345.0,0.0,1.0,1.3720884334989882,3,1,1,5.0,Need Attention
62708,2.0,357.0,521.0,7120.0,0.6962301664947211,5162.548985625413,3,4,4,11.0,Loyal
62753,2.0,8.0,237.0,20250.0,0.0392248155142168,1605.9710644675645,3,4,5,12.0,Loyal
62759,1.0,371.0,514.0,10500.0,0.5979344478636546,5309.883597910535,3,3,4,10.0,Loyal
63144,1.0,90.0,531.0,4500.0,0.1416422875460009,523.9793254402864,3,3,3,9.0,Need Attention
64212,2.0,404.0,431.0,360000.0,0.8388664670243098,371365.84884082753,3,4,5,12.0,Loyal
64219,0.0,0.0,422.0,0.0,1.0,1.1598846778972853,3,1,1,5.0,Need Attention
64886,2.0,423.0,528.0,4500.0,0.7745074861096791,3587.337616779719,3,4,3,10.0,Loyal
65221,1.0,375.0,510.0,10500.0,0.6054854890391816,5414.065095668329,3,3,4,10.0,Loyal
65888,0.0,0.0,211.0,0.0,1.0,2.0193584814131116,3,1,1,5.0,Need Attention
66193,0.0,0.0,310.0,0.0,1.0,1.496916080396151,3,1,1,5.0,Need Attention
66242,0.0,0.0,232.0,0.0,1.0,1.8796318067252769,3,1,1,5.0,Need Attention
